book_tod,book_dow,book_category,book_staff,last_category,last_staff,last_day_services,last_receipt_tot,last_dow,last_tod,last_noshow,last_prod_flag,last_cumrev,last_cumbook,last_cumstyle,last_cumcolor,last_cumprod,last_cumcancel,last_cumnoshow,noshow,recency
afternoon,Fri,COLOR,JOANNE,COLOR,JOANNE,1,120,Thurs,evening,0,0,120,1,0,1,0,0,0,0,29
afternoon,Fri,COLOR,JOANNE,COLOR,JOANNE,2,115,Thurs,morning,0,1,115,2,1,1,2,0,0,0,29
afternoon,Fri,COLOR,JOANNE,COLOR,JOANNE,2,242,Thurs,afternoon,0,1,242,2,1,1,2,0,0,0,50
afternoon,Fri,COLOR,JJ,COLOR,JJ,2,40,Fri,afternoon,0,1,40,2,1,1,1,0,0,0,28
afternoon,Fri,COLOR,JOANNE,COLOR,JOANNE,1,140,Fri,morning,0,0,140,1,0,1,0,0,0,0,28
afternoon,Fri,COLOR,JOANNE,COLOR,JOANNE,1,70,Fri,afternoon,0,0,210,2,0,2,0,0,0,0,35
afternoon,Fri,COLOR,JOANNE,COLOR,JOANNE,1,162.1,Fri,afternoon,0,1,100,1,0,1,1,0,0,0,42
afternoon,Fri,COLOR,JOANNE,COLOR,JOANNE,0,0,Fri,,0,0,240,3,0,3,2,1,0,0,7
afternoon,Fri,COLOR,JJ,COLOR,JJ,1,45,Thurs,morning,0,0,465,14,7,7,6,3,3,0,22
afternoon,Fri,COLOR,JOANNE,COLOR,KELLY,2,147,Wed,morning,0,1,147,2,1,1,2,0,0,0,44
afternoon,Sat,COLOR,JOANNE,COLOR,KELLY,2,210.75,Sat,afternoon,0,1,140,2,1,1,2,0,0,0,28
afternoon,Sat,COLOR,JOANNE,COLOR,JOANNE,2,245,Fri,afternoon,0,1,220,2,1,1,2,0,0,0,64
afternoon,Sat,COLOR,JOANNE,COLOR,KELLY,2,100,Tues,morning,0,1,100,2,1,1,2,0,0,0,25
afternoon,Sat,COLOR,KELLY,COLOR,KELLY,2,180,Sat,afternoon,0,1,155,2,1,1,2,0,0,0,35
